2016 Immigration policy,2020 For whom R voted (pre/early),2020 Media: TV mention,2016 Feeling Therm: Rep Party,2016 Death penalty (summary),2016 Voted in Nov election (post),2020 Media: Radio mention,2016 Media: TV news mention,2020 Party ID (basic),2020 Lib-Con 7pt scale,2020 Media: Internet mention,2020 Gun stance (difficulty buying),2016 Forced Lib or Con,Original (2016) Westat Case ID,2016 Race summary,2016 Media: Newspapers mention,2016 Attention to news,2016 For whom R voted (post),2016 ACA (2010 health care) favor/oppose,2020 For whom R voted (post),2020 Feeling Therm: Dem Party,2016 Post-election weight (full),2016 Attention to politics,2020 Attention to politics,2020 Where R is registered (pre),2016 Case ID,2016 Feeling Therm: Dem Party,2020 Voted in Nov election (post),2020 Media: Newspapers mention,2016 Party ID summary,2020 Interest in campaigns,2020 Forced Lib or Con,2016 Education level,2020 Already voted (pre),2020 Hispanic indicator,2016 Lib-Con 7pt scale,2016 Party ID (basic),2020 Age (summary),2020 Case ID,2016 Pre-election weight (full),2016 Gun stance (make it more difficult),2020 Race/Ethnicity (summary),2016 Media: Radio mention,2020 Death penalty (summary),2020 ACA approval (summary),2016 Registered to vote (pre),Panel post-election weight (2016-2020),2016 Strength of Party ID,2020 Media: No mention,2016 For whom R voted (pre),2020 Party ID summary,2020 Strength of Party ID,2020 Immigration policy,2016 Hispanic indicator,2016 Interest in campaigns,2020 Mode of interview (pre),Panel pre-election weight (2016-2020),2020 Education level,2020 Feeling Therm: Rep Party,2016 Age group,2016 Mode of interview,2016 Voted for President (pre)
3.0,-1.0,1.0,70.0,1.0,4.0,0.0,0.0,2.0,6.0,1.0,3.0,2.0,300001.0,1.0,0.0,4.0,2.0,7.0,2.0,15.0,0.842,3.0,2.0,1.0,1.0,0.0,4.0,0.0,7.0,1.0,-1.0,9.0,2.0,2.0,99.0,2.0,33.0,209586.0,0.827,3.0,1.0,1.0,2.0,7.0,1.0,0.8294908544751145,1.0,0.0,-1.0,7.0,1.0,3.0,2.0,1.0,3.0,0.9216719146012736,1.0,85.0,3.0,1.0,-1.0
1.0,-1.0,1.0,85.0,4.0,4.0,1.0,1.0,3.0,4.0,0.0,3.0,-1.0,300002.0,1.0,1.0,1.0,2.0,4.0,2.0,0.0,1.0133,1.0,1.0,1.0,2.0,15.0,4.0,1.0,6.0,1.0,2.0,13.0,2.0,2.0,5.0,2.0,30.0,211206.0,1.0806,3.0,6.0,1.0,4.0,7.0,1.0,1.0312585746821332,2.0,0.0,-1.0,4.0,-1.0,1.0,2.0,1.0,3.0,1.075269228144313,6.0,0.0,3.0,1.0,-1.0
3.0,-1.0,1.0,70.0,1.0,-1.0,1.0,1.0,5.0,99.0,0.0,3.0,2.0,300004.0,1.0,0.0,2.0,-1.0,6.0,-1.0,30.0,0.3663,3.0,3.0,1.0,4.0,30.0,1.0,0.0,5.0,2.0,2.0,9.0,2.0,2.0,99.0,0.0,62.0,233169.0,0.3596,3.0,1.0,1.0,1.0,4.0,1.0,0.5388054157119774,-1.0,0.0,2.0,5.0,-1.0,2.0,2.0,2.0,3.0,0.412876630511829,4.0,70.0,9.0,1.0,1.0
3.0,-1.0,1.0,40.0,2.0,4.0,0.0,0.0,3.0,4.0,0.0,3.0,1.0,300006.0,1.0,1.0,3.0,4.0,4.0,4.0,60.0,0.6463,3.0,1.0,1.0,5.0,70.0,4.0,0.0,3.0,1.0,1.0,9.0,2.0,2.0,4.0,3.0,42.0,203670.0,0.647,1.0,1.0,0.0,3.0,6.0,1.0,0.7256058424365964,-1.0,0.0,-1.0,4.0,-1.0,3.0,2.0,2.0,3.0,0.8245801694185637,2.0,40.0,5.0,1.0,-1.0
3.0,-1.0,1.0,15.0,2.0,4.0,0.0,1.0,1.0,99.0,1.0,1.0,2.0,300008.0,2.0,0.0,3.0,1.0,4.0,1.0,85.0,4.6151,2.0,2.0,1.0,7.0,85.0,4.0,0.0,1.0,1.0,2.0,5.0,2.0,2.0,99.0,1.0,62.0,203458.0,3.9604,1.0,2.0,1.0,2.0,1.0,1.0,6.622471507334762,1.0,0.0,-1.0,1.0,1.0,3.0,2.0,2.0,3.0,5.791115942474233,1.0,0.0,9.0,1.0,-1.0
3.0,-1.0,1.0,40.0,2.0,4.0,1.0,1.0,3.0,5.0,1.0,2.0,-1.0,300012.0,1.0,1.0,1.0,2.0,4.0,2.0,15.0,0.9426,1.0,1.0,1.0,8.0,0.0,4.0,1.0,4.0,1.0,-1.0,9.0,2.0,2.0,5.0,3.0,60.0,204987.0,0.962,3.0,1.0,1.0,1.0,6.0,1.0,1.0757477828094009,-1.0,0.0,-1.0,5.0,-1.0,2.0,2.0,1.0,3.0,1.1189910138114991,6.0,70.0,9.0,1.0,-1.0
3.0,-1.0,1.0,50.0,3.0,4.0,1.0,1.0,3.0,3.0,1.0,1.0,-1.0,300020.0,1.0,0.0,4.0,3.0,2.0,1.0,50.0,0.6005,3.0,4.0,2.0,10.0,50.0,4.0,1.0,3.0,3.0,-1.0,10.0,2.0,2.0,3.0,3.0,34.0,231989.0,0.6182,1.0,1.0,1.0,4.0,1.0,2.0,0.5671445844594486,-1.0,0.0,-1.0,5.0,-1.0,3.0,2.0,1.0,3.0,0.5927674227210923,3.0,50.0,4.0,1.0,-1.0
3.0,-1.0,1.0,70.0,3.0,4.0,0.0,1.0,3.0,5.0,1.0,-6.0,1.0,300026.0,5.0,1.0,1.0,3.0,6.0,-6.0,60.0,0.8927,2.0,2.0,2.0,13.0,40.0,-6.0,0.0,5.0,1.0,-1.0,13.0,2.0,1.0,4.0,5.0,-9.0,223506.0,0.919,2.0,3.0,1.0,4.0,-6.0,1.0,,-1.0,0.0,-1.0,3.0,-1.0,3.0,1.0,1.0,3.0,0.8341296562512895,6.0,30.0,4.0,1.0,-1.0
2.0,-1.0,1.0,50.0,1.0,4.0,1.0,1.0,3.0,6.0,1.0,3.0,2.0,300030.0,1.0,0.0,1.0,2.0,7.0,2.0,0.0,1.1928,2.0,1.0,1.0,14.0,15.0,4.0,0.0,2.0,1.0,-1.0,12.0,2.0,2.0,99.0,1.0,71.0,233268.0,1.166,3.0,1.0,1.0,1.0,7.0,1.0,1.330749487750586,2.0,0.0,-1.0,5.0,-1.0,2.0,2.0,1.0,3.0,1.396128066862646,3.0,85.0,11.0,1.0,-1.0
4.0,-1.0,1.0,30.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,-1.0,300034.0,1.0,1.0,1.0,1.0,1.0,1.0,70.0,0.3187,1.0,2.0,1.0,15.0,85.0,4.0,0.0,1.0,1.0,-1.0,14.0,2.0,2.0,2.0,1.0,65.0,233633.0,0.335,1.0,1.0,1.0,4.0,1.0,2.0,0.354661717954942,1.0,0.0,-1.0,1.0,1.0,4.0,2.0,1.0,3.0,0.3748000351872417,8.0,15.0,10.0,1.0,-1.0
3.0,-1.0,0.0,15.0,4.0,4.0,1.0,0.0,1.0,2.0,1.0,-7.0,-1.0,300039.0,5.0,1.0,1.0,1.0,1.0,-7.0,70.0,0.8146,1.0,1.0,1.0,17.0,70.0,-7.0,1.0,1.0,2.0,-1.0,14.0,2.0,2.0,2.0,1.0,49.0,221302.0,0.8084,1.0,1.0,0.0,4.0,-7.0,1.0,,1.0,0.0,-1.0,1.0,1.0,3.0,1.0,1.0,3.0,0.7229918546224712,7.0,15.0,7.0,1.0,-1.0
1.0,-1.0,1.0,70.0,1.0,4.0,0.0,1.0,2.0,6.0,1.0,1.0,-1.0,300040.0,1.0,1.0,2.0,2.0,7.0,2.0,60.0,0.2579,2.0,2.0,1.0,18.0,30.0,4.0,1.0,7.0,2.0,-1.0,13.0,2.0,2.0,6.0,2.0,74.0,218870.0,0.2423,1.0,1.0,0.0,1.0,7.0,1.0,0.3347839583348441,1.0,0.0,-1.0,7.0,1.0,2.0,2.0,2.0,3.0,0.3370449365429847,6.0,100.0,12.0,1.0,-1.0
3.0,-1.0,1.0,60.0,1.0,4.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,300042.0,1.0,0.0,2.0,-1.0,4.0,1.0,60.0,1.4366,2.0,2.0,1.0,20.0,40.0,4.0,0.0,6.0,1.0,2.0,10.0,2.0,2.0,99.0,2.0,71.0,226482.0,1.3938,1.0,1.0,1.0,1.0,2.0,1.0,1.5634625324708131,2.0,0.0,-1.0,4.0,-1.0,3.0,2.0,1.0,3.0,1.5659645624875922,3.0,40.0,11.0,1.0,-1.0
